number,Name,Address,Location,Timings,PhoneNumber,Rating,NumberofRatings
1,Vizianagaram,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",Andhra Pradesh,11:00 AM to 09:00 PM,9319374906,4.9,1408
2,Ramnagar,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM,7428890015,4.8,6036
3,Kakinada,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",Andhra Pradesh,11:00 AM to 09:00 PM,8447732252,4.9,1550
4,Eluru,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",Andhra Pradesh,11:00 AM to 09:00 PM,9319369743,4.9,898
5,Shanthi Nagar,"Shop No 23/7/131, Shanthi Nagar, Mr Palli Circle, Tirupati, Andhra Pradesh, 517502",Andhra Pradesh,11:00 AM to 09:00 PM,7428890044,4.9,2798
6,Tadepalle Vijayawada,"Ground Floor, Mother Teresa Plaza, D No 12-455/20, NH 16 Service Road, Beside Ramachandra Furniture, Tadepalle, Kunchanapalli, Vijayawada, Andhra Pradesh, 522501",Andhra Pradesh,10:30 AM to 09:30 PM,9643806942,4.9,16
7,Gajuwaka,"10-1-128/7, 60 Feet Wide Road, Mehar Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026",Andhra Pradesh,11:00 AM to 09:30 PM,8929176131,4.9,3414
8,Brodipet,"45029, Brodipet, Brodipet, Opposite Vajram Hotel, Guntur, Andhra Pradesh, 522002",Andhra Pradesh,11:00 AM to 09:00 PM,8929342562,4.9,1210
9,Nandyal Road Kurnool,"D No 87/1133, Nandyal Road, Sree Rajeswari Nagar, Sree Rajeswari Nagar, Kurnool, Andhra Pradesh, 518002",Andhra Pradesh,11:00 AM to 09:00 PM,9667268269,5.0,2582
10,Satyanarayanapuram,"21-3-7, Bagath Singh Road, Govt Press, Mutyalampadu Vijayawada, Satyanarayanapuram, Andhra Pradesh, 520011",Andhra Pradesh,10:30 AM to 09:30 PM,7065311596,4.9,390
